id,address,name,latitude,longitude,googleMapsUri,websiteUri,type,district
ChIJ2QuU58RdzpQRs9u0UkwaY74,"R. Arapoca, 310 - Vila Formosa, São Paulo",Colégio Formosa,-23.564609,-46.5423073,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc4e7940bd9:0xbe631a4c52b4dbb3!10e5,http://www.colegioformosa.com.br/,school,Vila Formosa São Paulo
ChIJ221FbdtdzpQRKwM0Jh-107w,"Rua Oswaldo Arouca, 163 - Vila Formosa, São Paulo",Colégio Melo Aragao Objetivo,-23.5618446,-46.5415035,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5ddb6d456ddb:0xbcd3b51f2634032b!10e5,http://www.meloaragao.com.br/,school,Vila Formosa São Paulo
ChIJHR_b_5JdzpQRLeB4ejqe0PI,"Av. Monsenhor Antônio Castro, 156 - Jardim Vila Formosa, São Paulo",Colégio Crescer Vila Formosa,-23.570812,-46.5283121,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d92ffdb1f1d:0xf2d09e3a7a78e02d!10e5,https://colegiocrescersp.com/,school,Vila Formosa São Paulo
ChIJ6VQ9EcNdzpQRdx3CHuYXxt0,"Av. Dedo de Deus, 424 - Vila Formosa, São Paulo",Colégio Ellos,-23.5642264,-46.5388846,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc3113d54e9:0xddc617e61ec21d77!10e5,http://www.colegioellos.com.br/,school,Vila Formosa São Paulo
ChIJDQnvhDhdzpQRt5S9aVk_jwA,"Av. Monsenhor Antônio Castro, 327 - Jardim Vila Formosa, São Paulo",Primo Amore,-23.5712449,-46.5266884,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d3884ef090d:0x8f3f5969bd94b7!10e5,,school,Vila Formosa São Paulo
ChIJj9jkK89dzpQR4tyeeMxU2N8,"R. Angá, 395 - Vila Formosa, São Paulo",Colégio Brasília de São Paulo,-23.5700245,-46.5464138,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dcf2be4d88f:0xdfd854cc789edce2!10e5,https://www.colegiobrasilia.com.br/,school,Vila Formosa São Paulo
ChIJWfKeVcVdzpQRqBYCa_sRVSo,"Rua Aracê, 563 - Vila Formosa, São Paulo",EE Professor José Marques da Cruz,-23.5611781,-46.542331,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc5559ef259:0x2a5511fb6b0216a8!10e5,http://www.educacao.sp.gov.br/cgrh/escolas/cel-jto-ee-jose-marques-da-cruz-prof/,school,Vila Formosa São Paulo
ChIJdwPTT0BdzpQRTy97NSgsJ-E,"Praça Domingos Ditano, 84 - Vila Formosa, São Paulo",Colégio Recrear,-23.5679022,-46.5458383,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5d404fd30377:0xe1272c28357b2f4f!10e5,,school,Vila Formosa São Paulo
ChIJaQm71cBdzpQRgig0rI1gvFM,"Av. João XXIII, 1071 - Vila Formosa, São Paulo",Externato Nossa Senhora do Sagrado Coração,-23.5707129,-46.5309161,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc0d5bb0969:0x53bc608dac342882!10e5,http://www.externatonssc.com.br/,school,Vila Formosa São Paulo
ChIJY7Czc8hdzpQRT8DxA44A6mc,"R. Mafalda, 481 - Vila Formosa, São Paulo",Colégio Soter,-23.5728792,-46.5456802,https://www.google.com/maps/place//data=!4m3!3m2!1s0x94ce5dc873b3b063:0x67ea008e03f1c04f!10e5,http://www.colegiosoter.com.br/,school,Vila Formosa São Paulo
